Hostname port chain role neighbor_IP neighbor_port
Anhs-MacBook-Pro.local 4567 C1 SOURCE 131.96.131.193 4568
Anhs-MacBook-Pro.local 4568 C1 RELAYER 131.96.131.193 4572
Anhs-MacBook-Pro.local 4572 C1 SINK null -1
Anhs-MacBook-Pro.local 4570 C2 SOURCE 131.96.131.193 4571
Anhs-MacBook-Pro.local 4571 C2 RELAYER 131.96.131.193 4569
Anhs-MacBook-Pro.local 4569 C2 SINK null -1
Anhs-MacBook-Pro.local 5555 C1 SOURCE 131.96.131.107 5556
Anhs-MacBook-Pro.local 5556 C1 RELAYER 131.96.131.193 5557
Anhs-MacBook-Pro.local 5557 C1 SINK null -1
Anhs-MacBook-Pro.local 6666 C1 SOURCE 131.96.131.78 6667
Anhs-MacBook-Pro.local 6667 C1 RELAYER 131.96.131.193 6668
Anhs-MacBook-Pro.local 5557 C1 SINK null -1
